Text,H1,H2,H4,H5,H6,H7,H9,H10,polarity
“خدمة الامتعة تاخير لديهم من مادفعنا لجر امتعتنا الى بهو الفندق  ولم يتم الاعتذار من طاقم الفندق وانم”. خدمة الامتعة تاخير لديهم من مادفعنا لجر امتعتنا الى بهو الفندقولم يتم الاعتذار من طاقم الفندق وانما اكتفو بلفرجة. خدمة الامتعة تاخير لديهم من مادفعنا لجر امتعتنا الى بهو الفندقولم يتم الاعتذار من طاقم الفندق وانما اكتفو بلفرجة,0,0,0,0,1,0,1,1,negative
“الإتصال بمكتب الإستقبال صعب جدا لان لا يوجد رد و بعض أسعار الوجبات غالية”. . اتصلت أسأل عن pandol بس استغربت بأن فندق 4 نجوم ليس لديه هذا الدواء الرخيص جدآ,0,0,0,0,1,1,1,1,negative
يجب ان يضعو صور لانواع السوشي لان هكذا لا نعرف ما الذي طلبناه💔☹,0,0,1,1,0,0,0,0,negative
"“لن أسكن هذا الفندق مرة أخرى مطلقاً”. المطعم جيد جدا ويعيبه عدم الخصوصية. موظفي الفندق ككل ليسوا على مستوى خمس نجوم كتصنيف الفندق , النظافة وتجهيزات الفندق لا ترتقي لفندق خمس نجوم ابداً , وصلت لهم ولم أجد لي غرفة مع إني حاجز من بدري وادخلوني على غرفة غير نظيفة وانتظرت في البهو ساعة تقريبا حتى جهزوا غرفة أخرى .أنا اعتبره اسوأ فندق جربته ولن أحجز فيه مره أخرى ولا أنصح من يبحث عن الراحة بأن يحجز فيه .",0,0,1,0,1,1,0,1,negative
“نجمة واحدة للموقع فقط”. الموقع و قربه من الخدماتلا انصح به احد ابدا يصلح للهنود فقط. الازعاجالفندق وسخالاثاث متهالك و قديمالاضاءه الغرفة شبة مضلمةادوات الحمام المناشف قديمة و مستهلكة كثيرالاسرة وسخة و غير مريحةالمطعم اكله غير مرضي و غالي على الفاضيحوض السباحة وسخ قد يكون الماء لم يستبدل من شهورالتلفزيون اغلب القنوات غير صافية الوضوحزحمة كثيرة بالليل جنب الفندق كثرة الهنود فيه وفي اللوبي,0,0,1,0,1,1,0,1,negative
“فندق  مستواه ممتاز ولكن خساره يوجد بعض السلبيات”. بصراحه  الفندق مستواه ممتاز ولكن انا كنت حاجز من على  ال booking  وروحت هناك لقيت سعر الفندق ارخص من حجزه على الب booking العيوب ال فى الفندق 1. لايوجد فيه واى فاى مجانا 2. ال بوفيه ال فيه اسعاره غاليه جدا  سياحيه 3. لايوجد فيه موقف سيارات تسأل يوقولو محجوزه وهنا اساسا الموقف مغلق وبس 4. الفندق يبعد عن الحرم ب اكثر من 3ك 5. لايوجد فيه باصات للذهاب  ال الحرم ولكن الفندق مستواه ممتاز بس يغيرو طقم العماله ال فيه. بصراحه  الفندق مستواه ممتاز ولكن انا كنت حاجز من على  ال booking  وروحت هناك لقيت سعر الفندق ارخص من حجزه على الب booking العيوب ال فى الفندق 1. لايوجد فيه واى فاى مجانا 2. ال بوفيه ال فيه اسعاره غاليه جدا  سياحيه 3. لايوجد فيه موقف سيارات تسأل يوقولو محجوزه وهنا اساسا الموقف مغلق وبس 4. الفندق يبعد عن الحرم ب اكثر من 3ك 5. لايوجد فيه باصات للذهاب  ال الحرم,0,0,0,0,1,1,1,1,negative
“سئ”. لا شي. كل شي,0,1,0,1,0,0,0,0,negative
تتت,0,1,0,1,0,0,0,0,negative
“لا تسكن هنا”. . ازعاج وعدم راحه...اطفال وعوائل في ممرات الفندق حتى الثالثه فجرا...غير معقول..مع العلم اني ابلغتهم بهذه المشكله وكان الجواب ان الناس هنا ينامو متأخرين...وخير يا طير وحتى لو.. ذلك لا يعني ان يسهرو في ممرات الفندق...,0,0,0,0,1,1,1,1,negative
“اسوئ تجربة”. بالقرب من مدكز تسوق. موقف غير متوفرة طاقم غير مافتهم و ربكة في تسليم الغرف و تاخير الرائحة سيئة و لا توجد اسرة للاطفال مع انه تم التوضيح في الحجز خدمات الغرفة سيئة و التكييف  و الاسرة سيئة,0,0,0,0,1,1,1,1,negative
ضعيف جداً. . لم اقيم في الفندق وطلبت الغاء الحجز من البوكينج والبوكينج بلغني باانه تم الالغاء والفندق سحب المبلغ رغم اني كلمت الفندق وقال لي الموظف لن نسحب من البطاقه ولا اعلم من اين الخطأ وانتظر حل المشكله,0,0,0,0,1,1,1,1,negative
ضعيف. . تغيير الرقم السري كل ساعة مما يؤدي لفقد الاتصال وعدم توفير المواصلات التي ذكرت في التوصيف أو حتى التواصل مع شركات التأجير أو التاكسي,0,0,0,1,1,0,1,0,negative
سئ جدا ولا يتم محاسبة الكباتن بشكل عادل,0,0,0,1,0,0,0,0,negative
ممتاز. . لايوجد عوازل في جدران الغرف حيث الصوت مسموع بين الغرف للأسف وأيضاً الغرفة المطلة الزجاج الذي فيها على الشارع ولاتعكس الصورة بل واضح كل مافي الغرفة بالنسبة للخارج وعامة الناس في الخارج قادرين على رؤية مافي الغرف المطلة ولا فيها اي نوع من الخصوصية للأسف !,0,0,0,0,1,1,1,1,negative
“فندق عائلي وقريب من الخدمات”. . لا تتوفر معهم خدمات عن السياحه  ودون على الحديقة العجيبة وطلبت مغلقة وضاع وقنا في الفاضي,0,0,0,0,1,0,1,1,negative
"“جيد”. الموقع,  النظافة,  التعامل,  القيمة. ازعاج السيارات في الخارج,  القنوات الفضائية بسيطة",0,0,0,1,0,0,1,0,negative
“لا يستحق التصنيف خمس نجوم”. لاشيئ. رائحة الممرات والغرف غير مقبولةالازعاج من النادي الليلي اصوات مزعجة من الموسيقا بالغرفتاخر الدخول لنصف ساعة لوجود 2 موظف في الاستقبال,0,0,0,0,1,0,1,1,negative
طلبنا حمص باللحم ووصلنا اخر شيء واللحم رائحته سيئة جدًا هذا غير الأطباق الثانية اللي واضح انها مو طازجة ,0,0,0,1,1,0,1,0,negative
“موقع سئ جدا ولا انصح به ولا يوجد عندهم مصداقيه حتى بالافطار لا يوجد افطار”. لم يعجبني شئ. لا يوجد مواقف مستوى نظافة سئموقع سئ جدا لا يوجد مصداقيه لا انصح احد به كيف موقع بوكنق يتعاون معهم,0,0,0,0,1,0,1,1,negative
“مناسب للعوائل المحافظة”. ﻻيوجد مراقص وبارات ومناسب للعوائل المحافظة وقريب من جميع الخدمات المطلوبة من تسوق وسينما ومواصﻻت ومترو ومستشفيات. تسمع أصوات الماء للحمام المجاور لك وأيضآ أصوات حركت جيرانك وهذا يعيب على سوء العوازل المانعة للأصوات وأيضآ لم يعجبني طلبهم لمبلغ للتأمين مع أن حسابهم واصل كامل وأيضآ النت مقابل مبلغ عالي جدآ وﻻيوجد نت مجاني,0,0,0,0,1,1,1,1,negative
“أسوء فندق على الاطلاق”. لم يعجبني شي فهو أسوء فندق من مدير إلى عاملين. ١- كان تسجيل الدخول جداً سيء حيث وصلنا للفندق الساعة١ ظهراً ودخلنا الغرف الساعه ٤ ونصف عصراً بحجة ان المني بار لم يتم تفريغه من الخمور٢- لم يتم تنفيذ طلبات الغرفه حيث طلبناها متصله او حتى مقاربه ودور عالي واعطونا العكس تماماً فكل غرفه في مكان والسرر منفصله ٣- كان صوت التكيف جداً عالي وطلبنا اصلاحه ولم يصلح ولم نستطع النوم من شدة الازعاج ٤- طلبنا تسجيل مغادره متأخر ورفضوا بشده ٥- وجود في منطقه بعيده جدا عن المولات والتسوق والمطاعم حيث كنا ندفع ٥٠ درهم لأقرب مول وهوا ياس مول ٥٠ ذهاب و٥٠ عوده٦- تنظيف الغرف جداً سيء٧- طاقم عمل غير ودود ابداً ٨- فجعنا بتشغيل الانذار والطلب من الجميع مغادرة الفندق الساعه الرابعه فجراً وعند اتصالنا بهم لم يرد احد وبعد فتره ردو وقالوا ان هناك خلل فقط ولم يقدموا اي اعتذار او تعويض للنزلاء٩- جميع اسعار الخدمات مبالغ فيها ١٠- بإختصار اسوء فندق ولا ننصح بالذهاب إليه ابداً,1,0,1,0,0,1,0,1,negative
تطبيق فاشل وكله نصب,0,1,0,1,0,0,0,0,negative
“لا يمكنني ان اتحدق عن مستوى الرحايه لفنادقنا بالمملكة خارج المملكة”. . الفندق وقت الأمطار الماء يدخل على من السقف على الممرات.وهذا ليس من الحضاره ..ارجو الإهتمام بفنادقكم كبقية دول العالم .. كذلك كثرة التدخين بصالة اللوبي يرجى وضع استراحة للمدخنين فيها جميع الترفيه.,0,0,0,0,1,1,1,1,negative
“تعبان”. . ما ينفع,0,1,0,1,0,0,0,0,negative
ضعيف جداً. . تم سحب المبلغ مرتين وتم الوعد بأن يسترد على حسابي ومضى شهر ولم يتم استرداه . هناك عملية تحايل يشتهرون بها,0,0,0,0,1,0,1,1,negative
“لاتسكن حيث القذارات واوسخ مكان تعامل وشكل”. قربه من المرافق من كل ناحيه. لقد تم الاتصال بهم من قبل خدامات بوكينق ولم يقومو بتنفيذ ماطلبته وان دال ذالك فقط بين ان ادارة البوكينق لم يعد لهاا اي دور فعال,0,0,0,0,1,1,1,1,negative
تجربة سيئة,0,1,0,1,0,0,0,0,negative
“لا انصح فيه فندق سيء جدا”. ولا شي. النت سيء لايعمل الا في اللوبي وازعاج الطائرات والملاهي الليلية حيث لايوجد عوازل في الفندق ايضا لايوجد ماء حار في المروش وموقعه سيء,1,0,0,0,0,0,1,1,negative
“كثير عليه 5 نجوم”. اعجبني الموقع وسهولة الدخول فقط. لم يعجبني :- تعامل الموظفين - بوفيه الفطور- الخدمات والاستجابة للطلبات سيئة جدا جدا جدا ( يعني تطلب قاروره ماء عادي تجيك بعد ساعه ) - اغطية الاسرة متسخة وقديمة- بالوعات الحمام مكشوفة بدون غطاء ( جناح 340 و341 )- ارضية الحمام السيراميك مكسور - صعوبة التعامل مفاتيح الاضاءة في الجناح- الفندق قديم ولم يتم تجديده - السعر غالي شوي بأختصار حقه 3 نجوم مو اكثر ابداً,0,0,1,0,1,1,0,1,negative
“فندق غير مناسب ابدا للعيش فيه ..غير نظيف ابدا .اسوا تجربه في حياتي كانت في هذا الفنجق”. لا شئ جيد .كله تعيس. كل شئ سئ للغايه,1,0,1,0,0,0,0,1,negative
“فندق غير جيد”. لا شي اعجبني. كل شي سيئ لا انصح بالسكن بهذا الفندق اسوء فندق جربته بحياتي ماء الحمام ضعيفه رائحه الحمام كريهه كان هناك تنقيط مويه من سقف الحمام كلمت خدمه الغرفه اكثر من مره لكن لايوجد اي رد ثلاث ايام و المويه تنقط من سقف الحمام السرير والمراتب غير مريحين  طاقم العمل غير متعاون فندق غالي ولا يوجد خدمات جيده  اسعار الطعام جدا غاليه وغير جيده,1,0,0,0,0,1,1,1,negative
“لا انصح اقامة العوائل فيه”. لاشيء. مواقف السيارات بعيد جداً... النت بطيء ويفصل كل مرة .. اصوات الموسيقى مزعجة بالليل الى الصباح ... الانارة داخل الغرفة مظلمة ... الرائحة كريهة بالممرات .. وشكراً,0,0,0,0,1,1,1,1,negative
“الموقع غير ملائم والفندق غير مريح”. لم يعجبني شئ مما اضطرني إلى مغادرة الفندق على الفور .. موقع الفندق جدا غير ملائم وليس بقربه خدمات ، كذلك من الصعوبة وجود سيارات التاكسي ، ولم يكن الإستقبال المعهود والمتوقع الذي يجده زوار دبي من غالبية الفنادق ، وتصميم البهو وتصميم الغرف ليس بالتصميم المريح للتفس ، وقد تم اعطائي غرفة في الطوابق المتوسطة رغم اعتراضي وكأنه فرض وأمر واقع يجب القبول به ، وأيضا الغرفة مطلة على منطقة شبه معزولة ، ودورة المياه غير ملائمة وتصريف المياه لا يعمل ، في الحقيقة تجربة سيئة جدا ، ويجب على الفندق مراجعة سياسته وخدماته .....,0,0,0,0,1,1,1,1,negative
“اسوأ فندق سكنت فيه في حياتي في الامارات وعلى بوكينق عدم خداع المتعاملين فالفندق لا يستحق اكثر من 3 ✨”. الموقع جيد تعامل الموظفين جيد. الغرفة العائلية واسعة وتكفي لعائلة مكونة من 5 اشخاص. الفندق لا يستحق اكثر من 3 نجوم. رائحة سيئة في جميع ارجاء الفندق. اللوبي به كوفي واحد فقط ويكتظ بالشباب الذين يحتسون الكحول ولا تستطيع ان تصحب عائلتك وطبعا الشباب ليسوا من نزلاء الفندق. الاثاث قديم جدا جدا جدا. السجادة قديمة جدا وتفوح منها رائحة سيئة. الحمامات قديمة ولا تتوفر بها الخدمات مثل نعل الحمام وادوات الاستحمام غرفة عائلية ويضعون حبة واحدة من كل شي. الصور الموجودة في موقع الفندق وبوكينق خادعة ولا توضح حقيقة الفندق مواقف السيارات الارضية ليس بها مصعد للوصول الى بهو الفندق او الغرف وانما درج متعب وصعب بالذات للاطفال وكبار السن. اسوأ فندق سكنت به في الامارات لا يستحق اكثر من 3 نجوم. سكنت ليلة واحدة بتاريخ 26/09/2015,1,0,0,0,0,1,1,1,negative
“لا أنصح في هذا الفندق القديم إطلاقاً”. الذي أعجبني توفر مواقف السيارات. 1- موظفي الاستقبال لا يجيدون اللغة العربية كأننا بلندن مو دولة عربية .2- الفندق تأثيثه قديم وألوان الغرف قديمة تجيب الضيقة ..3- لا أنصح فيه البتة للعوائل4- لا يوجد حولك مسجد وبعيد عن الخدمات العامة كالمطاعم والمغسلة وغيرها ..5- ما حولك تكاسي 6- يوم الجمعة تستأجر عوائل هندية شقة ويزعجونك بعيالهم بهالبركة لا ليلك ليل ولا نهارك نهار خصوصاً يوم الجمعة,0,0,0,0,1,1,1,1,negative
ضعيف. مكان الفندق. النظافة / تعامل طاقم العمل / السرعة في تلبية الطلبات / كثرة البارات في الفندق,0,0,0,0,0,0,1,1,negative
تجربه سيء جدا جدا أنا اخر مرة طلبت حسابات على الاوردر وبعدها طلبي ناقص دفعت فلوس علي حاجات مستلمتهاش اصلا ولما كلمتهم قالولي مش هنرجع الفلوس ومش هيتكرر الغلط تاني تجربة بجد سئ جدا,1,0,0,0,0,1,1,1,negative
“هارموني لايستحق نجمة واحدة !!!”. قريب نوعاً ما من الحرم فقط .... - لايوجد مواقف والشيء الغريب أغلب نزلاء الفندق راكنيين سياراتهم بعيد مين يستخدم مواقف الفندق الله أعلم ؟- الفندق هذا يسمع فقط بالنظافة ولا يعرفها فندق بصريح العبارة ( قذر ) يعني أجي المفرش عليه شعر ولمّا أقول للمشرفة إيش هذا تقول ترى مو شغالة أنا أنا جامع,0,0,0,0,1,1,1,1,negative
استثنائي. . عدم وجود واي فاي مجاني لنزلاء الفندق كباقي الفنادق,0,0,0,0,0,0,1,1,negative
مخيب للأمل. الفندق جيد ونظيف. الطاقم سيء جدا والسرير غير مريح,1,0,0,0,0,0,1,1,negative
“اتمني تحسين الخدمة والنظافة”. لا شي اعجبني سواء موقع الفنق. كل شي ما اعجبتيني وكثيرا النظافة سيئة,0,0,0,1,1,0,1,0,negative
ضعيف جداً. القرب من الحرم . النظافه والإفطار ليس نظيفاً ولا يليق بفندق خمسة نجوم كما ان الفندق لايستحق خمسة نجوم  وعدم التعاون عند طلب الخدمة حيث تنتظر لعدة ساعات ليتم تنفيذها ولا يتم تنظيف الغرف الا بعد إلحاح عليهم وعمال خدمة الغرف عند خدمتهم ينتظرون مبلغ الخدمة بشكل غير مباشر ولا يوجد مواقف للسيارات وبعد العاشره ليلاً لايتم الرد على الهاتف عندما تريد طلب الخدمة من الاستقبال مع انهم موجودين فيه ,0,0,0,0,1,1,1,1,negative
"“مرافق ممتازه ولكن كخدمة و نظافة سيئ للغاية ندمت اني رحت له خرب سفرتي”. المرافق الخارجيه مثل المسابح و الطعام ممتازة. الفلل غير نظيفة البته , يعني شي مقرف انصحكم لا تجونه جديا يعني الكنب عليه بقع سوداء من الوصخ , و لما فتحت السرير الإضافي لقيت قراطيس و فتاحات بيبسي حتى السرير ما تغيرت المفارش حقته اقسم بالله ان الشعر واضح على المفارش و لا بعد لما تتصل على الاستقبال ما يردون انا حجزي كان ليلتين دفعت 3000 على مكان ولله ما يسوي 100 ريال حتى الأرض تلزق من الوصخ و الحمام خربان السيفون حقه و المغاسل متسددة بالمناديل اقسم بالله ان الواحد ما يقبل يجلس على كنبهم من الوصاخه !!!",0,0,0,0,1,1,1,1,negative
بعادة,0,1,0,1,0,0,0,0,negative
“سيء جدا”. كثرة محلات الخدمات مثل السوبر ماركت والبوفيه. النظافه سيئه جدا عمال النظافه لايوجد سوى واحد ولا ينظف باستمرار الاثاث ردئ جداً جدا ولا يتطابق مع الصور المنشوره في موقع بوكنق حتى الديكور غير مطابق للصور في بوكنق,1,0,0,0,0,1,1,1,negative
استثنائي. كل شي زين. داخل الفندق ما فيه الابراج لجوالات STC صفر يعني ما فيه ابراج,0,0,0,0,0,0,1,1,negative
“سيء جدا”. غير صلح للاستخدام الادمياسم فقط. انصحكم بعدم التعامل مع هذا الفندق حرصا على سمعتكم.. كل شي في الفندق.,1,0,1,0,0,0,0,1,negative
“لا انصح فيه”. لاشيء يذكر. المواقف محدوده الانترنت فقط باللوبي تعامل الطاقم سيئ جداً المسبح مغلق,0,0,0,1,1,0,1,0,negative
“لن أكرر الزيارة”. الهدوء..عدم الإزعاج... سعر الليلة غالي ...ونحن في جدة لسنا في باريس..طاقم العمل سيءالمواقف لا توجد ...بكثرة,0,0,0,0,1,0,1,1,negative
“ليس مقبول بسمعه شركة ميريديان”. اُسلوب الاستقبال ليس اُسلوب راقي  خاصة في اول يوم نزلت فيه. الاستقبال وكذلك خدمات النظافه وصلاحية الأجهزه في الغرفة,0,0,0,1,1,0,1,0,negative
تطبيق مش بيشتغل يا اخونا و اى كلام ازاى كان بعد ما بتنزلو مش بيشتغل امال لو حن علينا واشتغل هيعملو فينا ايه الخلاصة برنامج زبالة😠😠😠😠😠,0,0,0,0,1,0,1,1,negative
مخيب للأمل. . ازعاج الفطور غيرجيد ومحظربطريقه غيرجيده نظام الفندق لم يتغيرمن اول ماوجدالفندق,0,0,0,0,0,0,1,1,negative
“اسوأ فندق نزلت فيه في حياتي”. . اسلوب تعامل الإداره غير مهذب. اداره الفندق يهينون النزلاء بسؤء المعامله ولا يجود اخلاق في التعامل. لا يوجد بوفيه مقتوح فقط كميه طعام قليله لا تكفيغش وخداع في ادعاء بوفيه مفتوح وهذا غير صحيحمستوى الطعام ردئمستوى النظافه ردئ,1,0,0,0,0,1,1,1,negative
“جيد جدا”. كل شي جميل في الفندق ما عدا البوفيه وقت العشاء كان عادي جداً ولا يستحق و معاملة المحاسب وقت بوفيه الافطار لم تكن جيدة للاسف. العشاء لم يكن فاخر ولا يستحق ان يكون بوفيه مثل هذا في فندق جميل زي موفنبيك رائحة المناشف للاسف الشديد كريهة جداً جداً جداً,0,0,0,0,1,1,1,1,negative
“لا انصح به ابدا من يهتم بالنظافة”. فقط القرب من الحرم. النظافة معدومة. المصاعد سيئة جدا. الانترنت مقطوع. التلفاز متخلف. نوعية النزلاء للاسف غير مناسبة.,0,0,1,1,1,0,0,0,negative
مخيب للأمل. الموقع والخصوصية  فقط. الاثاث قديم جدا جدا جدا وجميع الادوات متهالكه كثرة النامس والحشرات الابواب غير جيدة الواقع غير الصورر الموجودة بالموقع,0,0,0,1,1,0,1,0,negative
“الخدمة سيئة والموظفين اسوء ، لا انصح على الاطلاق بارتياد هذا الفندق ،خدمة الغرف المطعم موقف السيارة”. لا يوجد  مايعجبني. الخدمة سيئة والموظفين اسوء ، لا انصح على الاطلاق بارتياد هذا الفندق ،خدمة الغرف،المطعم،موقف السيارة،كلها دون المستوى، الغرف في الطوابق العلوية محدثة ومخصصة للاجانب و الغرف السفلية قديمة جدا ومخصصة للعرب؟؟,1,0,0,0,0,1,1,1,negative
ضعيف جداً. . سيء جدا الاثاث و التكييف و دورات المياه و الاصنصير والمبنى عموما,1,0,0,1,0,0,1,0,negative
“الفندق لا يستحق نجمتين”. لاشيء. تدني خدماته ورائحة اللوبي وفرشه ونوعية ساكنيه,0,0,0,0,0,0,1,1,negative
“استجمام، هدوء، الطاقم مزعج بالأسئلة”. nice placeالمكان جميل هادي ورايق وعندك خيارات مطاعم كثيرة. منها: تركي، ايطالي، هندي، لبناني، عالميالنادي الصحي فيه قسم نسائي كامل وفيه قسم خاص للأزواجكوبونات مجانية شاملة للغداء والعشاءسينما وألعاب مائية للأطفال. Highly Annoying StaffStaff was constantly asking us about room numberالطاقم مزعج أي مكان تمشي فيه بالفندق بيقابلك واحد ويسألك كل شوي عن رقم غرفتك النت ضعيف جداالحمامات بدون شطاف,0,0,0,0,1,1,1,1,negative
“الحي سيء”. . الحي سيء جداً ومخيف في الليل ماتقدر تنزل تمشي فيه ... المواقف بعييييدة يمكن كيلو مشي و مستحيل كمان تلقى موقف سيارة حتى لو بعيييييد .. باختصار مستحيل ارجع اسكن فيه مرره ثانية,1,0,0,0,0,1,1,1,negative
مخيب للأمل. . تعامل الموظفين سيء جداز وكان الفندق لايوجد فيه ماء ساحن لمدة 3 ايام متتالية ولم يتم تعويضنا بشي بالاضافة الى مناشف الحمامات متسخه. لا انصح به,1,0,0,0,0,0,1,1,negative
